"algorithm";"binary";"decimal";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
dragonbox;8388608*2^-109;12924697*10^-33;5.73468922685827e-09;0.00239983076498795;73.0000620742973;7;5.64311793552173e-06;0.005431005
amaru;8388608*2^-108;25849394*10^-33;6.45162918110423e-09;0.0038265676004251;75.000067292281;11;1.13632489801484e-05;0.005465571
dragonbox;8388608*2^-108;25849394*10^-33;5.59187429959572e-09;0.00823449608302369;73.0000599295011;7;5.44813646492217e-06;0.005429555
amaru;8388608*2^-107;5169879*10^-32;6.07351037913387e-09;1.42005118681919e-05;71.0000637407721;10;5.79461564314439e-06;0.00540674
dragonbox;8388608*2^-107;5169879*10^-32;5.80030448076333e-09;0.000445715890086314;73.0000607033867;7;5.65889323366136e-06;0.005444984
amaru;8388608*2^-106;10339758*10^-32;6.5068950830689e-09;0.0166094271878444;75.000066754864;11;6.20066595152319e-06;0.005562625
dragonbox;8388608*2^-106;10339758*10^-32;6.36104512275278e-09;0.00926212123352538;73.0000666404144;7;6.15021279736279e-06;0.005408514
amaru;8388608*2^-105;20679515*10^-32;6.67955135632447e-09;0.00540853879467313;75.0000699972637;11;1.27267752260593e-05;0.005442097
dragonbox;8388608*2^-105;20679515*10^-32;6.00997875133166e-09;0.00117508764188273;73.0000629344623;7;5.86376136836735e-06;0.00544325
amaru;8388608*2^-104;4135903*10^-31;6.62159112934429e-09;0.00109725111641657;71.0000693328291;10;6.45515282574315e-06;0.005446475
dragonbox;8388608*2^-104;4135903*10^-31;6.35148608108651e-09;2.298708599929e-05;73.0000664724864;7;6.19413663026579e-06;0.005445955
amaru;8388608*2^-103;8271806*10^-31;6.62895754096889e-09;0.00239737647606271;71.0000694672493;10;6.45515282574315e-06;0.00544832
dragonbox;8388608*2^-103;8271806*10^-31;6.3506837298791e-09;0.000425886543421102;73.000066447591;7;6.19413663026579e-06;0.005447228
amaru;8388608*2^-102;16543612*10^-31;6.65337556957499e-09;1.15993209148884e-05;75.0000696202532;11;6.48701947403246e-06;0.005447078
dragonbox;8388608*2^-102;16543612*10^-31;6.02392454464855e-09;1.94239906533624e-05;73.0000628970376;7;5.86365821908973e-06;0.00545918
amaru;8388608*2^-101;33087225*10^-31;6.9967996386261e-09;0.00319595836921915;82.000074946175;14;1e-05;0.004957517
dragonbox;8388608*2^-101;33087225*10^-31;5.94834397449029e-09;0.000763452272240856;73.0000621391691;7;5.79236681900591e-06;0.005451204
amaru;8388608*2^-100;6617445*10^-30;6.57421030664819e-09;0.0194490488079422;71.0000695023631;10;6.55776406476448e-06;0.004903647
dragonbox;8388608*2^-100;6617445*10^-30;6.05091447156141e-09;0.00712692637903945;73.0000651608585;7;5.92371440588106e-06;0.005429835
amaru;8388608*2^-99;1323489*10^-29;6.10671183264596e-09;0.0119400372077866;71.0000663241927;10;6.02947205942648e-06;0.005423724
dragonbox;8388608*2^-99;1323489*10^-29;5.9293827167136e-09;0.005771856289598;73.0000605963785;7;5.50876168546073e-06;0.005569075
amaru;8388608*2^-98;2646978*10^-29;6.48761639781271e-09;0.0237645396529996;71.0000677110584;10;6.15555076790496e-06;0.005568244
